Commander/s,Identity,Appearances,Wins,Avg Winrate,Avg Drawrate,Best Standing,Worst Standing
"Kraum, Ludevic's Opus / Malcolm, Keen-Eyed Navigator",UR,3,1,0.083,0.182,23,34
"Jaxis, the Troublemaker",R,3,0,0.0,0.0,20,133
Elminster,WU,3,2,0.114,0.059,36,79
The Ur-Dragon,WUBRG,3,1,0.067,0.077,17,64
The Mimeoplasm,UBG,3,1,0.067,0.133,29,67
"Yusri, Fortune's Flame",UR,3,4,0.21,0.263,6,27
Lord of the Nazgûl,UB,3,3,0.194,0.143,16,41
River Song,UR,3,4,0.233,0.125,2,114
"Malik, Grim Manipulator",WBR,3,3,0.2,0.133,18,45
"Miara, Thorn of the Glade / Thrasios, Triton Hero",UBG,3,3,0.194,0.214,11,118
"Light-Paws, Emperor's Voice",W,3,1,0.067,0.077,37,49
"Umbris, Fear Manifest",UB,3,2,0.178,0.083,27,221
"Xenagos, God of Revels",RG,3,2,0.111,0.067,33,53
"Marvo, Deep Operative",UB,3,0,0.0,0.364,68,75
"Karador, Ghost Chieftain",WBG,3,3,0.2,0.267,24,41
"Kaervek, the Punisher",B,2,0,0.0,0.0,34,50
"Armix, Filigree Thrasher / Tymna the Weaver",WB,2,5,0.357,0.214,20,30
"Delina, Wild Mage",R,2,2,0.208,0.2,13,120
"Francisco, Fowl Marauder / Jeska, Thrice Reborn",BR,2,2,0.167,0.0,16,26
"Mogis, God of Slaughter",BR,2,1,0.125,0.125,27,31
"Raul, Trouble Shooter",UB,2,0,0.0,0.222,45,49
"Ardenn, Intrepid Archaeologist / Thrasios, Triton Hero",WUG,2,0,0.0,0.0,57,213
"Purphoros, God of the Forge",R,2,0,0.0,0.1,39,78
"Ezuri, Claw of Progress",UG,2,1,0.125,0.0,22,52
"Mairsil, the Pretender",UBR,2,1,0.125,0.0,27,56
"Minn, Wily Illusionist",U,2,2,0.2,0.1,42,48
Queen Marchesa,WBR,2,0,0.0,0.3,77,77
"The Master, Multiplied",BR,2,0,0.0,0.0,84,128
"Kydele, Chosen of Kruphix / Rograkh, Son of Rohgahh",URG,2,1,0.1,0.182,34,90
"Ishai, Ojutai Dragonspeaker / Tymna the Weaver",WUB,2,2,0.2,0.111,18,41
"Torbran, Thane of Red Fell",R,2,2,0.171,0.0,47,96
"Jeska, Thrice Reborn / Yoshimaru, Ever Faithful",WR,2,0,0.0,0.273,36,97
"Queza, Augur of Agonies",WUB,2,0,0.0,0.111,50,70
"Saheeli, the Sun's Brilliance",UR,2,0,0.0,0.333,45,53
"Padeem, Consul of Innovation",U,2,1,0.1,0.0,68,116
"Zacama, Primal Calamity",WRG,2,3,0.25,0.083,26,60
"Carmen, Cruel Skymarcher",WB,2,0,0.0,0.0,44,52
Bartolomé del Presidio,WB,2,1,0.1,0.0,36,92
The Celestial Toymaker,WUB,2,3,0.243,0.25,13,30
"Curie, Emergent Intelligence",U,2,1,0.083,0.273,33,74
"Rankle, Master of Pranks",B,2,0,0.0,0.222,38,40
"Uril, the Miststalker",WRG,2,0,0.0,0.0,46,89
"Armix, Filigree Thrasher / Jeska, Thrice Reborn",BR,2,6,0.464,0.154,3,6
"Vihaan, Goldwaker",WBR,2,0,0.0,0.111,43,44
"Atraxa, Praetors' Voice",WUBG,2,1,0.125,0.0,31,56
"Avacyn, Angel of Hope",W,2,1,0.083,0.3,41,68
"Nikara, Lair Scavenger / Yannik, Scavenging Sentinel",WBG,2,1,0.1,0.0,46,93
"Jodah, Archmage Eternal",WUBRG,2,0,0.0,0.182,41,122
"Aurelia, the Warleader",WR,2,0,0.0,0.091,63,127
"Abdel Adrian, Gorion's Ward / Candlekeep Sage",WU,2,1,0.071,0.167,75,88
"Cultist of the Absolute / Vhal, Candlekeep Researcher",UB,2,2,0.183,0.455,13,21
Angus Mackenzie,WUG,2,0,0.0,0.2,62,89
